promise_id,promise_text,code_status,test_status,measured_status,docs_status,gap,priority,owner_phase,notes,evidence_links
P-01,Enumerates methods and keeps rejects visible,present,integration,n/a,current,No material gap: 12 method×placement rows stay in the matrix; unsupported/infeasible retain rejection_reasons; experimental methods are nonselectable not hidden.,P2,M2,"Solid core. M2 still owns workbench/CLI why-completeness so rejected rows never look like soft success. Quantized FSDP Full FSDP MLX Full experimental-select covered in planner/API tests. Full FP16 is planner+contract refused but lacks a dedicated named unittest pin (M1 false-yes hunt P2 residual).","src/aptus/planning.py; src/aptus/methods/registry.py; tests/aptus/test_planning.py (test_single_gpu_keeps_multi_gpu_strategies_visible_but_unsupported test_quantized_fsdp_is_fail_closed test_full_fsdp_is_closed_and_lora_fsdp_requires_pilot); tests/aptus/test_methods.py; tests/aptus/test_api.py (method catalog selectable/experimental); docs/reference/capability-matrix.md; README.md What is supported; M1-falseyes-and-claims.md"
P-02,Separates estimate from measurement in UI and CLI,present,integration,n/a,current,"Estimate fields (point_estimate_bytes upper_estimate_bytes) stay distinct from measured peaks and provenance kinds; UI labels Not measured. Residual risk is CLI operator presentation not always spelling estimate vs measured as clearly as Compare stage.",P2,M2,Prefer partial only if a surface collapses labels; forensic read finds API/web/domain separation present. M2 CLI parity can tighten operator-facing wording.,"src/aptus/domain.py; web/src/lib/plan.ts; web/src/api.test.ts (distinguishes estimated and tokenizer-measured); docs/product/claim-language.md; docs/methodology/facts-and-provenance.md; docs/methodology/memory-estimation.md"
P-03,Refuses unsupported method/placement with explicit reason,present,integration,n/a,current,Reasons are free-text English on candidates; no structured reason_code catalog yet (M2). Refusal itself is present not silent.,P1,M2,P1 because mission trust-when-no requires operator-actionable catalogization even though code already rejects. Pair with P-18.,"src/aptus/planning.py (unsupported/infeasible/conditional lists → rejection_reasons); tests/aptus/test_planning.py; docs/reference/capability-matrix.md method-specific hard boundaries; docs/guides/troubleshooting.md No feasible candidate"
P-04,Model policy fail-closed (no silent family allow),present,integration,historical,current,No silent family-prefix allow: near-matches blocked; invalid receipt fails closed; only exact registry paths bind. Measured MoE refusal is historical admission packet not training success.,P2,none,Configuration-footprint Qwen2 policy is not an artifact allowlist (documented). Keep non-claim when discussing P-16 Alpha footprint.,"src/aptus/model_compatibility.py; tests/aptus/test_model_compatibility.py; tests/aptus/test_planning.py (qwen3_moe_near_match sparse_architecture_marker); docs/product/current-capabilities.md; docs/operations/evidence/2026-07-28-qwen3-moe-admission/"
P-05,Plan identity changes when bound facts change,present,integration,n/a,current,No material gap. plan_id_for_payload / identity digest bind facts policy snapshot decision receipt target values.,P2,none,Foundational contract solid. Any formula-version bump still requires identity bump per repo rules.,"src/aptus/plan_contract.py; tests/aptus/test_plan_contract.py (test_phase3_target_values_mutate_candidate_and_plan_identity test_plan_identity_*); tests/aptus/test_planning.py (test_plan_binds_policy_snapshot_digest_into_identity); docs/architecture/data-and-identity-flow.md"
P-06,Compile is atomic and no-clobber,present,integration,n/a,current,No material gap. Non-empty output_dir and existing archive raise FileExistsError; atomic publish aborts on dataset change mid-compile.,P2,none,Preserve no-clobber in M3/M4 operator runbooks (new path every recompile).,"src/aptus/generation.py (compile refuses non-empty; archive no-clobber); tests/aptus/test_generation.py (test_dataset_change_aborts_atomic_publish FileExistsError cases); docs/guides/compile-validate-run.md; docs/reference/error-codes.md path_conflict"
P-07,Bundle runs package-free for validation subset,present,e2e-sim,historical,current,"Package-free validate/run entrypoints work without importing aptus for static/dependency/model-data/preflight/pilot subset. By design they cannot prove installed-host policy currency; that is installed-host only. Historical Alpha/Beta packets exercised package-free ladder gates.",P2,none,Document currency boundary in solo runbooks so operators do not confuse package-free pass with host currency.,"src/aptus/_bundle_programs/; tests/aptus/test_generation.py (_run_package_free_*); docs/product/current-capabilities.md package-free paragraph; docs/guides/compile-validate-run.md; docs/operations/evidence/2026-08-05-qwen2-mlx-lm-exact-source-refresh/; docs/operations/evidence/2026-08-06-smollm2-cuda-lora-single-acceptance/"
P-08,Ordered gates cannot be skipped for managed train,present,integration,historical,current,Managed job service returns job_prerequisite_not_met (HTTP 409) when action order violated; higher validation actions re-run lower levels. Historical five-job ladders honor order.,P1,M3,Mechanism present. Owner M3 to re-prove ordered managed ladder at current HEAD for Path Alpha; M4 re-proves Path Beta (note in M4 work). False skip would be false-yes → treat as mission-critical to keep green.,"src/aptus/execution.py (JobPrerequisiteNotMet); tests/aptus/test_api.py (test_job_prerequisite_failure_is_typed_as_http_409); tests/aptus/test_cli.py; docs/reference/error-codes.md; docs/guides/compile-validate-run.md; docs/reference/run-states.md; historical: 2026-08-05 and 2026-08-06 acceptance packets"
P-09,Parent promotion required for measured-run-pass,present,integration,historical,current,"Child cannot self-certify measured-run-pass; managed full defers parent promotion; unreceipted promotion fails. Diagnostics record attempt-01-unreceipted-parent-promotion. Current-HEAD promotion evidence not yet re-proved for frozen path IDs.",P1,M3,Alpha historical measured-run-pass binds parent promotion; Beta acceptance too. M3 owns Alpha re-proof; M4 owns Beta. Diagnostics show unreceipted path was blocked.,"src/aptus/execution.py (_promote_*_train_attestation); src/aptus/generation.py (defer-parent-promotion); tests/aptus/test_execution.py (mlx_parent_promotion parent_receipts); tests/aptus/test_generation.py (test_generated_mlx_managed_full_defers_only_parent_promotion); docs/operations/evidence/2026-08-05-qwen2-mlx-lm-acceptance/diagnostics/attempt-01-unreceipted-parent-promotion/; docs/operations/release-gates.md §4"
P-10,Stale policy requires replan not silent accept,present,integration,n/a,current,Stale snapshot/decision/schema → replan_required (409); no silent accept or auto-relabel of saved bytes. Tampering classified separately from stale.,P2,none,Solid. Keep distinct from authorization_status deferred/blocked in UI.,"src/aptus/plan_contract.py (StaleModelPolicyError replan_required); tests/aptus/test_plan_contract.py (stale_snapshot_digest stale_registered_policy); tests/aptus/test_api.py (test_stale_same_schema_policy_maps_to_replan_required test_stale_policy_job_submission_requires_replanning); docs/product/current-capabilities.md Strict replanning; docs/reference/error-codes.md replan_required"
